,size,interval,temp,test_acc,train_acc,eps_0.1,eps_0.2,eps_0.3
0,2,85,6,0.4131,0.64454,0.0599,0.0308,0.0201
1,2,55,3,0.4194,0.74806,0.0756,0.0375,0.0236
2,2,15,8,0.4078,0.6378,0.0476,0.0232,0.0164
3,2,45,4,0.425,0.794,0.0755,0.0344,0.0206
4,2,20,7,0.4129,0.67014,0.0587,0.0291,0.0198
5,2,95,7,0.4156,0.73242,0.0698,0.0314,0.0189
6,2,65,1,0.4106,0.65944,0.0515,0.0217,0.0129
7,2,65,10,0.415,0.66598,0.056,0.0249,0.0159
8,2,45,3,0.4226,0.72096,0.0671,0.0306,0.0197
9,2,60,8,0.4185,0.6565,0.0591,0.0319,0.0215
10,2,20,5,0.4183,0.71638,0.0642,0.0263,0.0165
11,2,75,1,0.4085,0.67492,0.0578,0.026,0.0144
12,2,80,7,0.4131,0.71716,0.0704,0.0292,0.0161
13,2,30,6,0.4164,0.6062,0.046,0.0186,0.0118
14,2,70,9,0.4109,0.69944,0.0566,0.0229,0.0146
15,2,10,3,0.427,0.65982,0.0525,0.0246,0.0165
16,2,25,4,0.4185,0.79752,0.0683,0.0289,0.017
17,2,15,5,0.4158,0.69176,0.0574,0.026,0.0168
18,2,100,8,0.4149,0.72774,0.0642,0.0291,0.0188
19,2,35,5,0.4199,0.712,0.0668,0.0325,0.0205
20,2,80,9,0.4161,0.6919,0.0613,0.0279,0.017
21,2,15,3,0.4278,0.79902,0.0646,0.0275,0.0182
22,2,0,1,0.4076,0.65894,0.0329,0.0171,0.0125
23,2,70,2,0.4139,0.68562,0.0642,0.0294,0.0211
24,2,20,6,0.4171,0.64388,0.0546,0.026,0.0195
25,2,40,1,0.4069,0.62622,0.0508,0.0234,0.0138
26,2,50,9,0.4154,0.66202,0.0623,0.0318,0.0227
27,2,40,6,0.4191,0.72664,0.0611,0.027,0.0153
28,2,75,7,0.4127,0.64544,0.0566,0.0299,0.0217
29,2,95,9,0.4158,0.69002,0.0591,0.0271,0.0168
30,2,50,2,0.4183,0.63548,0.0625,0.0351,0.0237
31,2,75,9,0.4105,0.67676,0.0587,0.028,0.0198
32,2,65,3,0.42,0.65012,0.0591,0.0297,0.0228
33,2,75,3,0.4142,0.72736,0.0718,0.0329,0.0215
34,2,70,5,0.4194,0.75072,0.0674,0.0285,0.016
35,2,80,4,0.4192,0.76946,0.0769,0.0348,0.0219
36,2,90,4,0.4163,0.77116,0.0804,0.0372,0.0209
37,2,50,4,0.426,0.67652,0.0685,0.0326,0.0234
38,2,35,6,0.4158,0.66648,0.0659,0.0255,0.0137
39,2,30,8,0.4106,0.7501,0.0676,0.0323,0.0209
40,2,15,1,0.4502,0.7423,0.0519,0.022,0.0136
41,2,45,6,0.4119,0.72876,0.0653,0.0328,0.021
42,2,0,0,0.012,0.011,0.0124,0.0118,0.011
43,2,30,1,0.414,0.69952,0.0555,0.0246,0.016
44,2,90,8,0.4146,0.7091,0.0684,0.0265,0.0149
45,2,0,9,0.4106,0.59806,0.0458,0.0209,0.0137
46,2,25,10,0.4122,0.66412,0.055,0.0299,0.0207
47,2,80,10,0.413,0.75546,0.0623,0.0292,0.0202
48,2,45,8,0.413,0.64176,0.0458,0.0248,0.0174
49,2,35,3,0.4242,0.6475,0.0588,0.0258,0.0172
50,2,70,8,0.4138,0.70494,0.06,0.0248,0.0162
51,2,50,10,0.4138,0.6963,0.0614,0.0257,0.016
52,2,30,9,0.4179,0.67218,0.0534,0.0247,0.0175
53,2,85,8,0.4123,0.62822,0.0513,0.021,0.0134
54,2,85,4,0.4174,0.80788,0.0805,0.0319,0.0185
55,2,40,4,0.4197,0.73536,0.068,0.0322,0.0186
56,2,70,3,0.4177,0.67996,0.0604,0.0284,0.0195
57,2,45,1,0.413,0.65836,0.0562,0.0233,0.0155
58,2,50,1,0.409,0.68856,0.0654,0.0313,0.0191
59,2,90,7,0.4127,0.69032,0.0578,0.0279,0.0207
60,2,90,3,0.4121,0.66496,0.0639,0.0322,0.0221
61,2,85,7,0.4147,0.633,0.0573,0.0262,0.0167
62,2,75,2,0.4165,0.59266,0.0545,0.0246,0.0174
63,2,50,8,0.4096,0.7962,0.0766,0.0381,0.0215
64,2,100,9,0.4093,0.6372,0.0545,0.029,0.0217
65,2,0,10,0.4121,0.701,0.0621,0.0294,0.0204
66,2,35,7,0.4131,0.654,0.0498,0.0217,0.0169
67,2,20,2,0.4374,0.74378,0.0618,0.0264,0.0136
68,2,5,3,0.4246,0.7305,0.0496,0.0235,0.0152
69,2,85,9,0.4179,0.63544,0.0478,0.0192,0.0102
70,2,0,4,0.4058,0.6095,0.0537,0.0217,0.0142
71,2,75,5,0.416,0.71446,0.0686,0.0346,0.0218
72,2,85,10,0.4106,0.69626,0.0548,0.0262,0.0159
73,2,95,8,0.4161,0.66608,0.062,0.0265,0.0146
74,2,55,8,0.4177,0.71754,0.0633,0.0328,0.023
75,2,80,3,0.4203,0.67802,0.0726,0.0346,0.0238
76,2,20,10,0.4095,0.74294,0.0651,0.0285,0.0158
77,2,55,2,0.4104,0.63476,0.0684,0.0304,0.0201
78,2,40,2,0.4176,0.70682,0.0649,0.0337,0.0251
79,2,50,3,0.4168,0.7122,0.0782,0.0364,0.0245
80,2,95,3,0.4146,0.66498,0.0665,0.0315,0.0206
81,2,15,2,0.4424,0.72416,0.0577,0.0239,0.0143
82,2,0,5,0.412,0.71294,0.0533,0.0246,0.0159
83,2,75,8,0.4123,0.73312,0.062,0.0277,0.018
84,2,95,2,0.4195,0.61382,0.0629,0.0295,0.0195
85,2,45,2,0.413,0.7736,0.0688,0.0303,0.0202
86,2,80,8,0.4159,0.66604,0.0605,0.0252,0.0141
