,size,interval,temp,test_acc,train_acc,eps_0.100,sig_0.100,sig_0.200,sig_0.300
0,2,110,16.0,0.4098,0.70098,0.0924,0.147,0.1042,0.0739
1,2,30,20.0,0.4084,0.73384,0.0818,0.1365,0.0891,0.0623
2,2,80,2.0,0.4137,0.66972,0.0864,0.1333,0.0852,0.0549
3,2,110,8.0,0.4166,0.73812,0.1024,0.1665,0.1064,0.0721
4,2,170,4.0,0.4154,0.64616,0.0996,0.1488,0.0972,0.067
5,2,130,14.0,0.4132,0.61584,0.0,0.0,0.0,0.0
6,2,90,20.0,0.4096,0.63968,0.0,0.0,0.0,0.0
7,2,50,14.0,0.4153,0.68078,0.0,0.0,0.0,0.0
8,2,80,12.0,0.4074,0.65598,0.0,0.0,0.0,0.0
9,2,30,16.0,0.4131,0.66186,0.0,0.0,0.0,0.0
10,2,100,16.0,0.4065,0.7428,0.0,0.0,0.0,0.0
11,2,110,14.0,0.412,0.69632,0.0,0.0,0.0,0.0
12,2,50,10.0,0.4202,0.67296,0.0,0.0,0.0,0.0
13,2,160,18.0,0.4122,0.6605,0.0,0.0,0.0,0.0
14,2,20,14.0,0.4091,0.71046,0.0,0.0,0.0,0.0
15,2,10,18.0,0.4083,0.63234,0.0,0.0,0.0,0.0
16,2,170,14.0,0.4103,0.64184,0.0,0.0,0.0,0.0
17,2,110,10.0,0.4157,0.69204,0.0,0.0,0.0,0.0
18,2,130,2.0,0.4075,0.73394,0.0,0.0,0.0,0.0
19,2,30,14.0,0.4128,0.71242,0.0,0.0,0.0,0.0
20,2,180,8.0,0.4113,0.67918,0.0,0.0,0.0,0.0
21,2,70,14.0,0.4097,0.70034,0.0,0.0,0.0,0.0
22,2,170,18.0,0.4128,0.7082,0.0,0.0,0.0,0.0
23,2,90,4.0,0.4109,0.634,0.0,0.0,0.0,0.0
24,2,170,20.0,0.4116,0.70678,0.0,0.0,0.0,0.0
25,2,0,14.0,0.4091,0.73864,0.0,0.0,0.0,0.0
26,2,170,6.0,0.4119,0.67442,0.0,0.0,0.0,0.0
27,2,40,12.0,0.4075,0.70954,0.0,0.0,0.0,0.0
28,2,150,8.0,0.4126,0.71302,0.0,0.0,0.0,0.0
29,2,80,8.0,0.4191,0.71918,0.0,0.0,0.0,0.0
30,2,0,10.0,0.4091,0.67514,0.0,0.0,0.0,0.0
31,2,20,20.0,0.4107,0.71792,0.0,0.0,0.0,0.0
32,2,10,12.0,0.4102,0.6807,0.0,0.0,0.0,0.0
33,2,140,8.0,0.4142,0.78066,0.0,0.0,0.0,0.0
34,2,120,2.0,0.408,0.69346,0.0,0.0,0.0,0.0
35,2,60,8.0,0.4124,0.70898,0.0,0.0,0.0,0.0
36,2,20,16.0,0.4132,0.63664,0.0,0.0,0.0,0.0
37,2,140,4.0,0.4197,0.63556,0.0,0.0,0.0,0.0
38,2,120,16.0,0.4083,0.65292,0.0,0.0,0.0,0.0
39,2,160,16.0,0.4141,0.70166,0.0,0.0,0.0,0.0
40,2,110,20.0,0.4101,0.64998,0.0,0.0,0.0,0.0
41,2,60,6.0,0.4115,0.6215,0.0,0.0,0.0,0.0
42,2,110,18.0,0.4123,0.67152,0.0,0.0,0.0,0.0
43,2,40,14.0,0.408,0.74786,0.0,0.0,0.0,0.0
44,2,160,8.0,0.4112,0.6564,0.0,0.0,0.0,0.0
45,2,150,10.0,0.4149,0.76404,0.0,0.0,0.0,0.0
46,2,120,14.0,0.4132,0.59946,0.0,0.0,0.0,0.0
47,2,190,20.0,0.4149,0.63926,0.0,0.0,0.0,0.0
48,2,110,12.0,0.4091,0.63372,0.0,0.0,0.0,0.0
49,2,90,8.0,0.4133,0.6913,0.0,0.0,0.0,0.0
50,2,160,14.0,0.4151,0.73578,0.0,0.0,0.0,0.0
51,2,130,8.0,0.4111,0.70678,0.0,0.0,0.0,0.0
52,2,80,6.0,0.4132,0.59482,0.0,0.0,0.0,0.0
53,2,90,14.0,0.4089,0.63684,0.0,0.0,0.0,0.0
54,2,160,4.0,0.4134,0.69398,0.0,0.0,0.0,0.0
55,2,60,10.0,0.4095,0.62354,0.0,0.0,0.0,0.0
56,2,180,10.0,0.4093,0.65986,0.0,0.0,0.0,0.0
57,2,20,8.0,0.4137,0.6385,0.0,0.0,0.0,0.0
58,2,140,16.0,0.4136,0.6606,0.0,0.0,0.0,0.0
59,2,190,12.0,0.4095,0.63188,0.0,0.0,0.0,0.0
60,2,30,6.0,0.4187,0.7569,0.0,0.0,0.0,0.0
61,2,190,8.0,0.4088,0.75544,0.0,0.0,0.0,0.0
62,2,0,20.0,0.4107,0.66974,0.0,0.0,0.0,0.0
63,2,20,18.0,0.4128,0.69118,0.0,0.0,0.0,0.0
64,2,50,16.0,0.4065,0.63608,0.0,0.0,0.0,0.0
65,2,140,2.0,0.4134,0.68094,0.0,0.0,0.0,0.0
66,2,130,6.0,0.4109,0.7856,0.0,0.0,0.0,0.0
67,2,190,6.0,0.4117,0.60546,0.0,0.0,0.0,0.0
68,2,70,6.0,0.4131,0.61864,0.0,0.0,0.0,0.0
69,2,190,4.0,0.417,0.60942,0.0,0.0,0.0,0.0
70,2,60,20.0,0.4156,0.66302,0.0,0.0,0.0,0.0
71,2,180,2.0,0.4119,0.64638,0.0,0.0,0.0,0.0
72,2,170,2.0,0.4144,0.6252,0.0,0.0,0.0,0.0
73,2,100,18.0,0.4114,0.68446,0.0,0.0,0.0,0.0
74,2,50,8.0,0.4065,0.74834,0.0,0.0,0.0,0.0
75,2,150,16.0,0.4121,0.669,0.0,0.0,0.0,0.0
76,2,150,2.0,0.406,0.67044,0.0,0.0,0.0,0.0
77,2,160,20.0,0.4136,0.6447,0.0,0.0,0.0,0.0
78,2,40,10.0,0.407,0.67778,0.0,0.0,0.0,0.0
79,2,0,12.0,0.4099,0.67974,0.0,0.0,0.0,0.0
80,2,30,2.0,0.4242,0.74212,0.0,0.0,0.0,0.0
81,2,0,8.0,0.4119,0.67938,0.0,0.0,0.0,0.0
82,2,50,18.0,0.4107,0.69968,0.0,0.0,0.0,0.0
83,2,150,4.0,0.4108,0.734,0.0,0.0,0.0,0.0
84,2,150,14.0,0.4127,0.68166,0.0,0.0,0.0,0.0
85,2,200,14.0,0.4159,0.60106,0.0,0.0,0.0,0.0
86,2,150,12.0,0.415,0.74256,0.0,0.0,0.0,0.0
87,2,200,4.0,0.4124,0.71766,0.0,0.0,0.0,0.0
88,2,0,18.0,0.4154,0.66452,0.0,0.0,0.0,0.0
89,2,70,2.0,0.4052,0.64184,0.0,0.0,0.0,0.0
90,2,30,10.0,0.4149,0.6668,0.0,0.0,0.0,0.0
91,2,100,10.0,0.4124,0.74496,0.0,0.0,0.0,0.0
92,2,140,10.0,0.4142,0.71356,0.0,0.0,0.0,0.0
93,2,200,18.0,0.4127,0.69984,0.0,0.0,0.0,0.0
94,2,190,18.0,0.409,0.63106,0.0,0.0,0.0,0.0
95,2,170,12.0,0.4169,0.77674,0.0,0.0,0.0,0.0
96,2,100,20.0,0.4102,0.63286,0.0,0.0,0.0,0.0
97,2,180,4.0,0.4123,0.72892,0.0,0.0,0.0,0.0
98,2,60,2.0,0.4144,0.63254,0.0,0.0,0.0,0.0
99,2,140,6.0,0.4191,0.62234,0.0,0.0,0.0,0.0
100,2,160,6.0,0.4159,0.6689,0.0,0.0,0.0,0.0
101,2,40,8.0,0.4143,0.64832,0.0,0.0,0.0,0.0
102,2,80,20.0,0.4103,0.6586,0.0,0.0,0.0,0.0
103,2,150,18.0,0.413,0.63954,0.0,0.0,0.0,0.0
104,2,120,18.0,0.4175,0.66798,0.0,0.0,0.0,0.0
105,2,10,2.0,0.4397,0.69384,0.0,0.0,0.0,0.0
106,2,120,10.0,0.4153,0.6555,0.0,0.0,0.0,0.0
107,2,40,4.0,0.4239,0.69358,0.0,0.0,0.0,0.0
108,2,100,2.0,0.4127,0.62164,0.0,0.0,0.0,0.0
